brand,product,shade,cielab
valentino,rosso valentino high pigment refillable lipstick,106a soft sienna,"[54.22810823128134, 30.15489533204202, 17.66711363531477]"
zoeva,velvet love matte hyaluronic long-lasting lipstick,parda,"[54.46753198592023, 20.444039792862633, 16.349808886859684]"
bareminerals,gen nude matte liquid lipcolor,juju,"[49.575394821403236, 12.470006158907697, 5.247772610124923]"
flower beauty,miracle matte liquid lip color,soft berry,"[77.30597791396882, 9.613217813042807, 7.044519927159731]"
kaja,air heart lightweight natural finish lipstick,03 ride or die,"[55.84599645541877, 19.85083411788391, 14.025296693406464]"
l'oréal,colour riche satin lipstick,montmartre 129,"[60.46464004991732, 11.628336922454297, 19.85621051273774]"
laura mercier,rouge essentiel silky cream lipstick,mauve merveilleux,"[50.99312072082965, 4.860350825537485, 7.154774238984896]"
maybelline,superstay matte ink lip color,dreamer,"[73.27150182059499, 23.69725908960263, 5.325692083248934]"
maybelline,superstay matte ink lip color,revolutionary,"[74.43134886300949, 14.01221130245095, 0.04227609233211638]"
revlon,super lustrous lipstick,637 blushing nude,"[42.9750599976315, 3.6947624450945904, 10.287279572923714]"
sephora collection,rouge lacquer lipstick,31 reckless,"[64.09544335382067, 2.027252966681825, -0.23430123442607087]"
too faced,melted matte liquid lipstick,finesse,"[58.70294129730003, 11.446548400450729, 14.6909369563192]"
too faced,melted matte liquid lipstick,poppin' corks,"[63.93133771958645, 13.104438064336254, 15.040055902485872]"
winky lux,matte lip velour lipstick,meow,"[73.21060327044287, 7.187365575607507, 16.60204641485683]"
morphe,matte liquid lipstick,pep talk,"[49.22671875825229, 5.458149560432945, 3.9651595435009623]"
stila,stay all day liquid lipstick,salina,"[67.88026851083585, 10.418964463829116, 11.657068456649778]"
anastasia beverly hills,matte lipstick,hollywood,"[55.062816690027134, 9.00268436118401, 7.6617263864592555]"
armani beauty,lip power long lasting satin lipstick,103 androgino,"[71.20704234171696, 25.411742909274892, 15.660566166828872]"
charlotte tilbury,k.i.s.s.i.n.g lipstick,runway royalty,"[73.83444886409114, 14.614931452228252, 22.86391630494098]"
clinique,pop matte lip colour + primer,5 melon pop,"[70.42570376141656, 19.00489072317091, 15.311003037709515]"
ctzn cosmetics,nudiversal lip duo,bali,"[41.76175130477014, 6.6226037296922, 7.473659929207177]"
estée lauder,pure color matte lipstick,856 object of desire,"[69.6582134322551, 16.344360662393253, 5.2448360931222515]"
lime crime,metallic velvetine lipstick,siren,"[63.73154993260303, 31.882533091108613, 13.229105249405016]"
merit,signature lip lightweight matte lipstick,antibes,"[74.26240273630476, 13.897341198052803, 10.394558001973596]"
milk makeup,lip color,c.r.e.a.m.,"[77.50120501965654, 10.338913214849255, 3.0454781069906955]"
natasha denona,i need a nude lipstick,14nb judith,"[70.48303523153763, 9.58214757057374, 1.1318160543182687]"
rituel de fille,enchanted lip sheer,narcissus,"[76.11668019502956, 21.187394915545056, 19.479941787497413]"
sephora collection,melting lip clicks lip balm,05 peach sorbet,"[49.64714281989353, 15.260640496100708, 8.348971248093306]"
sephora collection,sheer matte lip balm,apricot,"[79.7385494751964, 18.851329051889522, 18.29633438290299]"
zoeva,powerful lip twist,hestia,"[77.60780421486722, 20.011675682237662, 18.25596451848417]"
about-face,paint-it matte lip color,not your baby,"[64.7884629104839, 8.697555305464345, 1.6885443165541636]"
